"Site","FireFreq","n","CV","logRR2","logRR2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,2,0.157134840263677,0.622136049364631,0.0973864849916152,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,2,0.0968639426282942,0.919784260287949,0.0896669139775702,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,2,0.359545820942312,0.736834906539174,0.151690141707038,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0.368421053,7,0.273307821998293,0.620516874957674,0.0160312033390132,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,4,0.439224373889531,0.610351602878961,0.0546957999140288,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0.3333333,3,0.142055717707798,-0.143292981656009,0.00844254030275319,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,3,0.192153784566105,-0.420462466348947,0.0140767396434198,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1764706,20,0.329778756027371,-0.19984421367471,0.00761684253884068,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,20,0.147575690382985,0.0562162713623965,0.00325387894727812,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0.1875,2,0.0101741982904539,0.253260788796053,0.0362852910259883,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,2,0.077138921583987,0.426194054294014,0.039213165069921,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,1,NA,0.78552050069096,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,1,NA,0.660357357736954,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,2,0.929340340988034,-0.505094949057006,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,2,0.0323865701306816,0.121607132094787,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,1,NA,0.202236866494896,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,1,NA,0.405465108108164,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,1,NA,0.129211731480006,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,1,NA,0.230016430601972,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0.3138298,3,0.264663006856452,0.772352564227118,0.0462408137559691,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,3,0.22622353454561,0.812099225587099,0.0398239283907907,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,3,0.0949333749479726,0.835149223840494,0.0256280215386491,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,3,0.139966800850448,0.883937222428906,0.0291709510569198,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",1,48,0.409758065418608,0.610873681920852,0.00707918964043831,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0.333,3,0.100201286388282,0.160708359128112,0.00741374282442139,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,3,0.121300398253678,0.1697177730684,0.00897799953956655,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0.25,2,0.0243829924547085,0.934977568484208,0.0247876004579704,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,2,0.126269068069026,0.903723585480431,0.0324940057935899,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0.08823529,2,0.132264577775901,0.245437414551604,0.012917950526994,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,2,0.0193727885256588,0.290290449729505,0.00432040668601924,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Cedar Creek",0.1,2,0.385694607919935,-0.0898493562162626,0.114416101294061,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.125,2,0.131215691354205,0.466566539311237,0.0459155658758185,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.333,3,0.394881149776714,0.234748764338716,0.0905975787129137,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.4,2,0.152887952688983,0.196433751380346,0.0490253917766899,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.5,5,0.187323754028748,0.41716594422467,0.044312395702294,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.667,1,NA,0.645801059962747,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,3,0.0153278832528219,0.230663030218964,0.0373480492455071,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.9,2,0.016255328303139,0.356350902632494,0.0374018580872606,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Marondera",0.25,1,NA,0.167054084663166,NA,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.33,1,NA,0.192371892647456,NA,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.5,1,NA,0.241162056816888,NA,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",1,1,NA,0.287682072451781,NA,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Nylsvley",1,1,NA,0.893817876022097,NA,"Savanna",571,19.1336669921875,86.8071212768555,2831,12,"Afr"
"Solar Village",1,5,NA,0.489577601139036,0.0358363827571865,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Solar Village",1,5,NA,-0.0815546288579453,0.0358363827571865,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Peachester North",0.5,3,0.151073924,-0.578565975820585,0.0115505953663224,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.25,3,0.188441514,-0.829266822108824,0.0158206682719702,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.5,3,0.324610383,-0.874951752280142,0.0396546928376648,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.25,3,0.19245009,-1.08618976866955,0.0163357663370997,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Laba",1,4,0.117647059,0.0606246218164348,0.00738007353576519,"Savanna",824,27.9752807617188,114.431114196777,3501,10,"Afr"
