"Site","Latitude","Longitude","Biome","Continent","Duration","MAT","MAP","Seasonality","WetQ","DryQ","aridity"
"Hitchiti",34.766,-84.1435,"Forest","NAm",19,12.5240211486816,1650,13.0455255508423,481,356,12416
"UniversityMissouri",36.9,-90.31666667,"Forest","NAm",64,13.8540315628052,1210,17.570650100708,371,260,8647
"TallTimbers",30.65,-84.2,"Savanna","NAm",47,19.406042098999,1490,26.1156997680664,495,263,9059
"Alapaha",31.16666667,-83.25,"Savanna","NAm",38,18.9953956604004,1209,25.6424427032471,391,204,7520
"Morton",41.817,-88.05,"Forest","NAm",21,9.78518772125244,943,29.7519588470459,305,139,7791
"Okmulgee",35.633,-96.03,"Forest","NAm",19,15.7126770019531,1048,34.328498840332,358,154,6422
"LaPampa",-38.75,-63.75,"Savanna","SAm",18,15.3028230667114,408,37.2326583862305,131,48,2215
"Yackelup",-34.1834,116.6186,"Forest","Aus",34,14.9082708358765,696,64.3865051269531,320,53,4162
"Ukulinga",-29.67,30.4,"Savanna","Afr",60,17.558500289917,854,63.948673248291,376,54,5332
"McCorkill",-33.9438,115.5312,"Forest","Aus",39,15.9135522842407,894,79.5574493408203,469,44,5289
"KrugerSatara",-24.401,31.746,"Savanna","Afr",56,22.0945720672607,558,78.891845703125,292,26,3305
"Tiogo",12.22,-2.7,"Savanna","Afr",12,28.1340942382812,734,118.634666442871,507,4,2995
"Bauple",-25.9,152.7,"Forest","Aus",27,20.3487606048584,1240,45.9143218994141,496,156,6501
"Cedar Creek",45.416667,-93.166667,"Savanna","NAm",31,6.26793718338013,744,52.7925567626953,312,68,7169
"Laba",11.67,-2.83,"Savanna","Afr",10,27.9752807617188,824,114.431114196777,553,3,3501
"Marondera",-18.25,31.25,"Savanna","Afr",54,17.824104309082,802,103.266510009766,507,9,4253
"Nylsvley",-24.67,28.72,"Savanna","Afr",12,19.1336669921875,571,86.8071212768555,315,13,2831
"Peachester North",-26.87,152.85,"Forest","Aus",40,19.8246669769287,1501,48.7363090515137,610,168,9012
"Peachester South",-26.87,152.85,"Forest","Aus",40,19.8246669769287,1501,48.7363090515137,610,168,9012
"Red Volta",10.9,-0.7,"Savanna","Afr",27,28.1064891815186,956,103.647216796875,595,7,4232
"Solar Village",-12.62,131.1,"Savanna","Afr",23,27.220386505127,1657,107.342544555664,1046,5,7262
"Tanguro",-13.1,-52.4,"Forest","SAm",6,24.9010524749756,1574,84.3869018554688,815,15,10075
"Munmarlary (open forest)",-12.4667,132.5,"Savanna","Aus",22,27.6277179718018,1606,114.235580444336,1097,2,7102
"Munmarlary (woodland)",-12.4667,132.5,"Savanna","Aus",24,27.6277179718018,1606,114.235580444336,1097,2,7102
"Kisatchie",31,-92.5,"Savanna","NAm",37,18.9897193908691,1578,11.6898107528687,447,351,10267
"KrugerMopani",-24.401,31.746,"Savanna","Afr",56,22.0945720672607,558,78.891845703125,292,26,3305
"KrugerPretoriuskop",-24.401,31.746,"Savanna","Afr",56,22.0945720672607,558,78.891845703125,292,26,3305
"KrugerSkukuza",-24.401,31.746,"Savanna","Afr",56,22.0945720672607,558,78.891845703125,292,26,3305
"Kapalga",-12.833,132.833,"Savanna","Aus",4,27.8440418243408,1493,113.095649719238,1002,4,6460
"HighlandRim",35.5,-86.25,"Savanna","NAm",42,14.28684425354,1479,15.8351736068726,422,298,10848
"Lamto",6.21667,5.033,"Savanna","Afr",36,26.3497085571289,2137,67.2066345214844,906,94,15065
